DUB,Substrate,label,Ubibrowser2,Ubibrowser2_domain_motif,TransDSI,TransDSIwoSSN,TransDSIwoCT,RF,XGBoost,SVM,KNN,LR
Q14694,O43623,1,5.4264,1.36,0.9732159972190856,0.7320124506950378,0.6234208941459656,0.578164396519965,0.5381965041160583,0.4512606634771161,0.5919913532893587,0.6378379270112069
P62068,P10275,1,127.350564,52.6242,0.9701383709907532,0.7948004007339478,0.571340024471283,0.6489747514183115,0.5124428272247314,0.7248527620821406,0.7295058657445304,0.8043433630303465
Q93009,P51955,1,21.2256,9.648,0.9369136691093444,0.340280532836914,0.4907892346382141,0.4186940589760184,0.511543333530426,0.591453886251506,0.3882472501697225,0.21034465193509602
Q9Y2K6,P35222,1,98.46848,44.7584,0.9439162015914916,0.6721082329750061,0.6817842721939087,0.6170448004936065,0.5121843218803406,0.4937388176989108,0.5408397178736992,0.8909545655379654
Q96RU2,P15056,1,2.76,2.76,0.9653942584991456,0.841686487197876,0.4993976354598999,0.5899080709766559,0.5099693536758423,0.5666345638098886,0.6222747339631327,0.9021442498978975
Q5VV17,P46937,1,2.1488,1.36,0.7257218956947327,0.3778047859668731,0.5360981225967407,0.604805960622602,0.523906946182251,0.4296227940938897,0.5279305640558942,0.24230072843195358
Q93009,P01106,1,369.58381677,43.8993,0.9552958011627196,0.9530754685401917,0.6438409090042114,0.7174566431459192,0.5276390910148621,0.7074664640767765,0.5375301840244239,0.9424490974456892
O94966,P04150,1,23.540104,4.2568,0.7138209939002991,0.6272451877593994,0.6467775106430054,0.5599840634236155,0.5085307955741882,0.6928221776900289,0.6316898069670173,0.3246979318759602
P40818,Q7LBR1,1,27.04746,1.32,0.0467824563384056,0.0469451956450939,0.4861822426319122,0.3511496817031007,0.481416255235672,0.1790509087075797,0.0663888260495629,0.03458696805445879
P09936,P10636,1,147.040656,2.76,0.5269774794578552,0.6287935972213745,0.4739871919155121,0.4785341592142197,0.5009793043136597,0.5540795426298734,0.4274007766224023,0.747994164235703
Q6GQQ9,Q13042,1,1.73,1.0,0.1103937700390815,0.1545671373605728,0.7588627934455872,0.5007811588851042,0.4977563321590423,0.3887551672740935,0.426580857741389,0.16461589261013237
Q9UPT9,P00533,1,16.177092,6.854699999999999,0.5991684198379517,0.4626959264278412,0.471868485212326,0.5154389056526296,0.5085591077804565,0.4441199118466308,0.5077391944997043,0.5722174340844322
Q93008,Q9NZQ7,1,3.02,1.0,0.7112312912940979,0.3917682766914367,0.4629683196544647,0.379619020362471,0.4745286703109741,0.4002832215583631,0.2292909212702808,0.414437930959064
Q6R6M4,O60885,1,1.58,1.0,0.0191966090351343,0.0889926850795745,0.6017515659332275,0.3945578785897679,0.4902175068855285,0.2172129293063827,0.5388218827475306,0.08458328606577456
P40818,P29466,1,4.3776,2.28,0.1828440874814987,0.1313443034887313,0.7589317560195923,0.4035168988380478,0.468376487493515,0.3551169143208555,0.1504114191266757,0.08255629510405223
Q96DX7,Q16665,1,1.48,1.0,0.9740884304046632,0.9944701194763184,0.662810206413269,0.6314362929750094,0.5389893054962158,0.8299769332583048,0.853725445420676,0.9884111728500146
Q5VV17,Q14653,1,7.66,7.66,0.8186635375022888,0.3436598181724548,0.5389479398727417,0.4611776719291217,0.5099693536758423,0.4335197567972862,0.4167008942564417,0.08353767036442847
Q93008,Q14457,1,35.506908,15.0453,0.9980854988098145,0.5907161831855774,0.7745023369789124,0.6768450254082683,0.5146982669830322,0.4275330963724445,0.3115488337955188,0.7247241906839033
P09936,P37840,1,15.594,2.76,0.9959505796432496,0.6230214834213257,0.6482795476913452,0.3570571287670219,0.4867855608463287,0.4806340689974776,0.4633372654368104,0.6000391946809106
Q9Y2K6,O75385,1,11.858631,6.854699999999999,0.9643044471740724,0.6285966038703918,0.5578654408454895,0.5576351918861905,0.5035944581031799,0.2709474706932938,0.4660754556016293,0.980336091687196
P40818,P37840,1,14.4072,2.76,0.9621107578277588,0.1552415788173675,0.6407802700996399,0.3182639638474025,0.4552893936634063,0.2918582587716637,0.0668343242406971,0.5271549268431192
Q92560,Q6FI13,1,43.03812,14.204,0.9870988726615906,0.8525007367134094,0.7888028025627136,0.8520718533342386,0.5331279039382935,0.6476024365616264,0.8405935124436537,0.7426262072021942
Q93009,P46531,1,79.7867088,14.204,0.9095757603645324,0.9975566864013672,0.4548202455043793,0.6358103940674438,0.5065020322799683,0.4814535495378704,0.8514135849987093,0.9966790601591705
Q96DC9,P10070,1,1.9536,1.32,0.992176592350006,0.9941443800926208,0.4485737979412079,0.5840421298190003,0.5022535920143127,0.6709292955535996,0.6185531650352116,0.9946791431968264
Q70CQ1,P28562,1,8.343328,4.2568,0.8723234534263611,0.8506542444229126,0.573391318321228,0.5263545538580697,0.5159202218055725,0.6719550680304706,0.684542364779536,0.5678660606061059
Q14694,P04049,1,6.3384,2.28,0.912461519241333,0.2922122478485107,0.5629819631576538,0.5313218697741597,0.519183874130249,0.332058021687259,0.767569859056669,0.08888104165124028
Q96FW1,P51965,1,7.714192,1.36,0.8765167593955994,0.6335124373435974,0.5713396072387695,0.4455777387200807,0.5341359376907349,0.6330586449925992,0.4512819399360094,0.861368001286631
P09936,P19838,1,9.8808,2.76,0.9405394196510316,0.8900125622749329,0.5774708390235901,0.5715655435583732,0.5026427507400513,0.5760930868276787,0.5530887536661373,0.8513860504863298
P09936,P10145,1,2.42,1.0,0.777140200138092,0.4482643902301788,0.5927827954292297,0.3725029147994663,0.5344645977020264,0.6233971087049497,0.4449353729374722,0.23373933012090428
P09936,P05231,1,11.0124,2.76,0.2879042625427246,0.6928019523620605,0.6391806602478027,0.4573697079618438,0.5035542845726013,0.6594230027440853,0.472928958724218,0.8451792143691034
Q8TEY7,P35813,1,8.36352,3.8016,0.4763692021369934,0.4972445368766784,0.4806755781173706,0.407120076860235,0.5136756896972656,0.620259324753944,0.5578351153379486,0.688713727553913
O00487,P01584,1,3.6432,1.32,0.8596125245094299,0.4222121834754944,0.3966579437255859,0.4483863083041012,0.4943319261074066,0.6356979660421854,0.5629961152753835,0.38970189982590986
Q92995,P53396,1,2.6656,1.36,0.151744931936264,0.5096945762634277,0.3634520769119262,0.4358881871719611,0.5002971291542053,0.290858675073455,0.3054001107590513,0.4491271100810336
Q93008,Q9UPN4,1,31.414,5.56,0.0005382366944104,0.3924247622489929,0.8756551146507263,0.3946923463918759,0.4578512609004974,0.6182425061518806,0.5392945554468472,0.017597592263859898
P54578,P08670,1,3.2096,1.36,0.0654597356915474,0.0255693849176168,0.5111408233642578,0.4285016682091918,0.4943319261074066,0.3586588783745375,0.3722093558264023,0.010711986393762928
Q14694,P36888,1,3.2912,1.36,0.8065052032470703,0.6862587332725525,0.630650520324707,0.5620712268544306,0.5108116269111633,0.4471036127726308,0.5324297742067142,0.9048118313414494
