Pro1	Pro2
Q6VVB1	Q16517
Q6VVB1	Q96LD4
A8MQ27	Q9HCN2
A8MQ27	O76083
A8MQ27	Q6A162
A8MQ27	P31943
Q07869	O43504
Q8IYW5	P62805
Q8IYW5	P13667
Q8IYW5	Q9P0K7
Q8IYW5	P63165
Q8IYW5	O95999
Q9UJP4	P31269
Q9P2E8	Q9HCN8
Q9P2E8	P37287
Q9UKA1	Q8N5M4
Q9UKA1	P49454
Q9UKA1	Q7L5N1
Q9UKA1	P28676
Q9UKA1	Q99967
Q9NX47	Q01804
Q9NX47	Q9UGF7
Q9NX47	O60313
Q9NX47	Q96CV9
Q9NX47	Q9P0N8
Q9NX47	P07900
Q9NX47	Q96B02
Q9NX47	Q96HH9
Q9NX47	Q12981
Q9NX47	Q9NQG1
Q9NX47	Q96LT7
O00635	Q96C92
O00635	P11166
Q86XK2	O75530
Q86XK2	Q6UWL6
Q86XK2	Q8TBE0
Q86XK2	Q8TDR4
O43255	P41143
O43255	Q16236
O43255	P49736
O43255	Q9NZQ7
O43255	P61077
O43255	P41145
O43255	P35372
O43255	Q9GZU2
O43255	O43255
O43255	Q96KQ4
O43255	Q99708
O43255	Q92995
O43255	O60563
O43255	Q07912
O43255	P54259
O43255	Q7Z7L1
O43255	Q9Y6X2
O43255	P29597
O43255	P09601
O43255	Q8TC59
O43255	Q6UXH8
O43255	Q96CJ1
O43255	P42330
O43255	Q9H4B4
O43255	Q92831
O43255	Q15819
O43255	P11021
O43255	Q9H2X6
O43255	P51668
O43255	Q13620
O43255	P36957
O43255	P86496
O43255	Q9H422
Q9UK22	Q99435
Q9UK22	P51888
Q9UK22	P20851
Q9UK22	Q9NTU7
Q9UK22	Q6ZMP0
Q9UK22	Q9UBG0
Q9UK22	O15533
Q9UK22	Q7Z7M0
Q9Y575	Q9UPW6
Q14145	Q16665
Q14145	Q06609
Q14145	Q13200
Q14145	O14980
Q14145	Q04206
Q14145	O43765
Q99942	Q4ZIN3
Q99942	P49447
Q99942	Q09028
Q99942	O15120
Q99942	Q96LR5
Q99942	O94905
Q99942	Q04941
Q969U6	P78371
Q969U6	O14980
Q969U6	Q2M389
Q969U6	Q13371
Q969U6	Q13620
Q9Y4L5	P27482
Q9Y4L5	Q9UN36
Q9Y4L5	Q9UKB1
