Pro1	Pro2
Q8NHY2	Q96RU8
Q8NHY2	Q92466
Q8NHY2	P58340
Q8NHY2	Q9UJT2
Q8NHY2	Q96EK7
Q8NHY2	P62877
Q8NHY2	Q14565
Q8NHY2	P48047
Q8NHY2	Q92519
Q8NHY2	Q9HCE6
Q8NHY2	Q99973
Q8NHY2	P05451
Q8NHY2	Q16531
Q8NHY2	Q13216
Q8NHY2	Q9ULK2
Q8NHY2	Q9UBW8
Q8NHY2	A8K0Z3
Q8NHY2	Q15717
Q96Q27	P84243
Q96Q27	P07900
Q13049	Q13404
Q13049	Q969T4
Q13049	O14966
Q13049	Q9H0R8
Q13049	Q96LR2
Q13049	Q15051
Q13049	P11387
Q13049	Q9H270
Q13049	O95352
Q13049	O76014
Q13049	Q9Y6Y8
Q13049	Q8N8B7
Q13049	Q14141
O43791	Q12905
O43791	P01106
O43791	P13804
O43791	Q01844
O43791	Q07666
O43791	Q9UKX7
O43791	P49411
O43791	Q6PEW1
O43791	Q9UNN5
O43791	Q99878
O43791	P07437
O43791	P50548
O43791	P08195
O43791	P81605
O43791	Q01581
O43791	P53597
O43791	Q13428
O43791	Q8WTP8
O43791	P63173
O43791	Q15233
O43791	P62987
O43791	P06733
O43791	P39019
O43791	P61626
O43791	Q969T4
O43791	P23246
O43791	Q8IVD9
O43791	P15336
O43791	O14974
O43791	O43251
Q12899	Q9NVH0
Q13216	P19338
Q13216	Q9UBW8
Q6JEL2	P28289
Q99496	P35227
Q99496	Q4G0J3
Q99496	O95503
Q99496	P07305
Q99496	Q93009
Q99496	P29692
Q99496	Q8NEJ9
Q99496	O94761
Q99496	Q15075
Q99496	P61077
Q8IWV8	Q96RF0
Q8IWV8	Q9BV47
P38398	P51531
P38398	Q09028
P38398	Q6N043
P38398	O75792
P38398	Q8WZ42
P38398	P48643
P38398	Q2M1K9
P38398	O15350
P38398	P54274
P38398	Q14191
P38398	Q8NG31
P38398	P30622
P38398	Q9H6Z9
P38398	Q13557
P38398	P05387
P38398	P35241
P38398	Q8TEQ6
P38398	P03886
P38398	P18621
P38398	P62910
P38398	Q15149
P38398	Q53GT1
P38398	P12956
P38398	P07585
P38398	O60885
P38398	Q8TBA6
O60907	Q1X8D7
Q96JY6	O14965
Q96JY6	O75815
Q969V5	Q86WV6
Q969V5	Q9C026
Q969V5	O43318
Q969V5	O43464
Q969V5	Q969T4
Q969V5	Q12933
Q96K19	P60900
Q969K3	P0C6T2
Q969K3	Q9H8J5
Q969K3	Q12834
Q969K3	Q99417
Q969K3	Q969M7
Q969K3	P35548
Q9HCM9	Q9UK11
Q9HCM9	Q9BQA5
Q9Y4B6	Q16236
Q9Y4B6	Q6UY01
Q9Y4B6	Q02539
Q9Y4B6	P62750
Q9Y4B6	Q16539
Q9Y4B6	Q9NZQ3
Q9Y4B6	P39687
Q9Y4B6	Q13620
Q9Y4B6	Q969Q0
Q9Y4B6	Q9UQ84
Q75N03	Q13618
Q75N03	Q2KJY2
Q75N03	P01130
Q8NG06	Q6WCQ1
Q8NG06	P14618
P15918	Q8NC51
P15918	Q16531
P15918	P62805
P15918	Q9Y4B6
Q9UK99	Q63HR2
Q9UK99	P62877
Q9UK99	Q15029
Q9UK99	Q13618
Q9UMS4	Q69YN4
Q9UMS4	Q99714
Q9UMS4	P25788
Q9BUZ4	P47897
Q9BUZ4	P78317
Q00987	P29034
Q00987	O95229
Q00987	Q8N257
Q00987	P81605
Q00987	P62987
Q00987	Q13619
Q00987	Q53FA7
Q00987	Q9H1E3
Q00987	Q6ZTQ3
Q00987	Q15303
Q00987	P60866
Q00987	Q8NEZ5
Q00987	Q9GZR2
Q00987	Q9H0A0
Q00987	P18848
Q00987	P14649
Q00987	P01127
Q00987	Q9ULD5
Q00987	Q13315
Q00987	Q8IZ83
Q00987	Q969Q0
Q00987	O95714
Q00987	P54136
Q00987	P61978
Q00987	Q9Y2X8
Q00987	P46379
Q00987	P04114
Q00987	P62829
Q00987	Q9NZC7
Q00987	P51532
Q00987	Q96S44
Q00987	Q05086
Q00987	Q8WWW0
Q00987	P06703
Q00987	Q70EK9
Q00987	Q92769
Q00987	Q03181
Q00987	Q13085
Q00987	Q9Y5J3
Q00987	P62333
Q00987	Q13616
Q00987	P54578
Q00987	P68104
Q00987	Q02878
Q00987	O75600
Q00987	O75365
Q00987	P56945
Q00987	P50750
Q00987	Q9C037
Q00987	Q5T7V8
Q00987	P23396
Q00987	Q9NZV7
Q00987	O60858
Q00987	Q8TD19
Q00987	O95155
Q00987	P25490
Q00987	Q9H078
Q00987	Q93009
Q00987	Q8N163
Q00987	Q15257
Q00987	P67870
Q00987	O15297
Q00987	Q6UUV7
Q00987	P55884
Q00987	P41235
Q00987	P56182
Q00987	P09651
Q00987	P34932
Q00987	P48729
Q00987	P02768
Q00987	Q8N488
Q00987	Q96K58
Q00987	Q00688
Q00987	Q9NZJ0
O60858	Q8NBQ5
O60858	Q9NR77
O60858	Q6ZMZ3
O60858	Q9UGP8
O60858	Q8N3G9
Q9NW38	Q8IYD8
Q9NW38	Q52LG2
Q9NW38	Q13363
Q9NXK8	P38936
Q9NXK8	P78395
Q9NXK8	P51648
Q9NXK8	Q9Y2H9
Q9NXK8	O14867
P21580	Q96EY8
P21580	Q9Y5E4
Q8N9I9	P18124
P46934	P14314
P46934	Q9UHV2
P46934	P0CG47
P46934	P35916
P46934	Q9Y2J4
P46934	Q9UKE5
P46934	O00559
P46934	P63000
P46934	Q8TB68
P46934	Q99683
P46934	Q96G27
P46934	Q13635
P46934	Q96AA3
P46934	P56537
P46934	Q04917
P46934	P31151
P46934	Q9NZQ7
P46934	Q15796
P46934	O14668
P46934	P51812
P46934	P01584
P46934	Q9Y277
P46934	Q8N9B8
P46934	P98153
P46934	Q15562
P46934	P61081
P46934	Q93034
P46934	P61978
P46934	Q92974
P46934	Q13303
P46934	Q7L2E3
P46934	Q13616
P46934	Q99497
P46934	O94941
P46934	P22607
P46934	Q6ZSJ9
P46934	P41181
P46934	P51668
P46934	Q9UQB9
P46934	P07947
P46934	Q96A61
P46934	Q9NX24
P46934	Q15884
P46934	Q8NEA6
P46934	P09104
P46934	P09884
P46934	Q86T03
P46934	Q6VN20
P46934	P14625
P46934	Q99624
P46934	P07949
P46934	P08238
P46934	Q9BXW4
P46934	O15304
P46934	P17948
P46934	Q9UQB8
P46934	P06753
P46934	Q12879
P46934	Q13867
P46934	P51965
P46934	Q7KZI7
P46934	Q5T1M5
P46934	P12757
P46934	Q9HCY8
P46934	P60174
P46934	Q6NUN7
P46934	Q9P289
P46934	Q13191
P46934	O43809
P46934	Q9H3Y6
P46934	P05161
P46934	Q01105
P46934	Q8IXW5
P46934	P62258
P46934	Q96J86
P46934	P07814
P46934	P61328
P46934	P16949
P46934	Q9UII2
P46934	P60520
P46934	Q96DX7
P46934	Q9BZD6
P46934	P00441
O95714	Q5SW79
O95714	Q96DA0
O95714	Q96T17
O95714	Q2V2M9
Q99618	O14880
Q99618	Q00765
P63244	Q8NEM0
P63244	P35222
Q9UKT7	Q8N5M4
Q9UKT7	Q14738
Q9NVR0	Q6UX71
P09936	Q9UBQ7
P29372	P03372
P29372	P54725
P29372	Q15828
P29372	Q9H0H5
P29372	P51858
P29372	Q15059
P29372	Q96QC0
P29372	P35249
Q8NFZ0	P27694
Q8NFZ0	P12004
Q8NFZ0	Q15185
Q8NFZ0	P79522
Q9NWN3	P60329
Q9UKB1	Q9HCH0
Q9UKB1	Q8WX93
Q9UKB1	P78543
Q9UKB1	Q14693
Q9UKB1	Q9UHL9
Q9UKB1	Q9UKM9
Q9UKB1	P61981
Q9UKB1	P41002
Q9UKB1	Q16740
Q9UKB1	Q8N1F8
Q9UKB1	P23381
Q9UKB1	Q712K3
Q9UKB1	Q02790
Q9UKB1	P18848
Q9UKB1	Q5VWX1
Q9UKB1	Q96KR1
Q9UKB1	Q3KP66
Q9UKB1	P43243
Q9UKB1	Q13905
Q9UKB1	P35813
Q9UKB1	O00571
Q9UKB1	Q6ZNC4
Q9UKB1	Q9BSC4
Q9UKB1	Q9C026
Q9UKB1	P49674
Q9UKB1	P55795
Q9UKB1	Q96RT7
Q9UKA2	Q92667
Q9Y3I1	Q8WTW4
Q9Y3I1	P19838
Q9Y3I1	Q9Y230
Q96PM5	P62753
Q96PM5	P17844
Q96PM5	P01106
Q96PM5	P20585
Q96PM5	P31689
Q96PM5	P31943
Q96PM5	P05154
Q96PM5	P39023
Q96PM5	Q6UY14
Q96PM5	Q9BVP2
Q96PM5	P06748
Q96PM5	P84098
Q9UH77	P48436
Q9UH77	P31749
P10523	P49761
P10523	P08100
P10523	P32121
P10523	O95786
P10523	P10523
P10523	Q96N68
P10523	P04198
P10523	P49407
Q9C037	Q9UPN9
Q8IYU2	P24863
Q8IYU2	Q9NWT6
Q8IYU2	Q9BQ67
Q8IYU2	P68036
Q8IYU2	Q8IYU2
Q8IYU2	P41180
O60260	Q13242
O60260	Q01844
O60260	O14802
O60260	Q86WB0
O60260	Q0VDF9
O60260	Q9NYF8
O60260	O00231
O60260	Q05048
O60260	P23381
O60260	Q14240
O60260	Q9P2R7
O60260	P08559
O60260	P28331
O60260	Q13888
O60260	Q99623
O60260	P07948
O60260	Q9UBM7
O60260	P61513
O60260	P62244
O60260	Q14232
O60260	O60231
O60260	O94906
O60260	Q9P0V9
O60260	Q14157
O60260	Q9UJS0
O60260	O43491
O60260	Q14119
O60260	P06748
O60260	Q9H4L4
O60260	Q12904
O60260	Q96RW7
O60260	P28482
O60260	O75369
O60260	P61204
O60260	P55072
O60260	Q02252
O60260	O75648
O60260	P62906
O60260	P60484
O60260	Q86WJ1
O60260	P61923
O60260	Q5VTL8
O60260	Q9H0U3
O60260	O95861
O60260	Q9HCG8
O60260	P50395
O60260	P25788
O60260	O15392
O60260	Q9Y5S9
O60260	Q13363
O60260	P28070
O60260	P49915
O60260	Q9NWM3
O60260	Q9Y3D9
O60260	Q5T8P6
O60260	Q01968
P00748	Q9H6T0
Q86XS8	P14866
Q8IUQ4	Q9UBK9
Q8IUQ4	Q9UJX2
Q8IUQ4	Q9NU19
Q8IUQ4	Q969T4
Q8IUQ4	Q9BW62
Q8IUQ4	P61077
Q8IUQ4	P08138
Q8IUQ4	Q86WX3
Q8IUQ4	O60493
Q8IUQ4	Q15038
Q8IUQ4	Q9C029
Q8IUQ4	Q8IXK0
Q8IUQ4	Q9H6R4
Q8IUQ4	Q9NVW2
Q8IUQ4	P06241
Q8IUQ4	Q9ULD0
Q8IUQ4	O00144
Q8IUQ4	P36406
Q8IUQ4	Q8TB72
Q8IUQ4	Q96DC9
Q8IUQ4	P62195
Q8IUQ4	Q2TAL8
Q8IUQ4	Q86YD7
Q8IUQ4	Q96B01
Q8IUQ4	O60333
Q8IUQ4	Q8WWY3
Q8IUQ4	P35372
Q8IUQ4	O43581
Q8IUQ4	Q9H0A9
Q8IUQ4	Q14088
Q8IUQ4	P29692
Q8IUQ4	Q5VUG0
Q8IUQ4	P11216
Q8IUQ4	Q9H082
Q8IUQ4	P15498
Q8IUQ4	O75928
Q8IUQ4	P82909
Q969P5	Q9NP79
Q969P5	Q9NRZ9
Q969P5	Q9H993
Q969P5	Q9BZE4
Q969P5	Q9NX58
Q969P5	Q4G0N4
Q969P5	Q14669
Q969P5	P30622
Q969P5	Q96MU7
Q969P5	Q07157
Q969P5	O75691
Q969P5	P17612
Q53GT1	P02656
Q53GT1	Q6P9G4
O14543	Q92546
O14543	P38159
O14543	P50591
O14543	P22607
O14543	P27348
Q96JP5	P09651
Q96JP5	P25054
Q8WZ19	Q15149
Q13490	Q12906
Q13490	O75325
Q13490	Q14554
Q13490	Q06455
Q13490	P42575
Q13490	P08651
Q13490	P21580
Q13490	Q7Z434
Q13490	O15455
Q13490	Q96CG3
Q13490	O95696
Q13490	Q9UNE7
Q13490	O43508
Q13490	P19438
Q13490	O14933
Q13490	O15392
Q13490	P22314
Q13490	Q9BQK8
Q13490	Q9BUR5
Q13490	Q8TBB1
Q13490	Q5VW38
Q13490	Q9NQC7
Q13490	P25686
Q13490	P61586
Q13490	P08949
Q96DX5	Q04206
Q96DX5	Q99798
Q5XX13	Q93034
Q9UH90	P60709
Q7Z6E9	Q9BUQ8
Q7Z6E9	P04198
O14544	Q06210
Q9H2C0	Q9Y657
Q9H2C0	Q8NCM8
Q9H2C0	O76014
Q9H2C0	Q92888
Q9HCE7	Q9Y2J2
Q9HCE7	P28066
Q9HCE7	P25398
Q9HCE7	O60331
Q9HCE7	P23528
Q9HCE7	O14980
Q9HCE7	P46013
Q9HCE7	P17980
Q9HCE7	Q08945
Q9HCE7	P31943
Q9HCE7	P42696
Q9HCE7	P62316
Q9HCE7	Q13428
Q9HCE7	Q9Y657
Q9HCE7	Q15459
Q9HCE7	P62745
Q9HCE7	O00148
Q9HCE7	P63151
Q9HCE7	O60506
Q9HCE7	O95835
Q9HCE7	O15226
Q9HCE7	Q99832
Q9HCE7	P42167
Q9HCE7	Q969P6
Q9HCE7	Q12933
Q9HCE7	Q9P219
Q9HCE7	Q9HCE7
Q9HCE7	P30153
Q9HCE7	P84243
Q9HCE7	Q3V6T2
Q9HCE7	P13639
Q9HCE7	Q13895
Q9HCE7	Q8IX12
Q9HCE7	P62701
Q9HCE7	P22626
Q9HCE7	P08670
Q9HCE7	Q9UKK9
Q9HCE7	Q01082
Q9HCE7	P30876
Q9HCE7	Q9H7B2
Q9HCE7	P31689
Q9HCE7	Q9H8H2
Q9HCE7	P50395
Q9HCE7	Q9UKM9
Q9HCE7	P60891
Q9HCE7	Q00403
Q9HCE7	P63241
Q9HCE7	P62269
Q9HCE7	Q96I25
Q9HCE7	P62249
Q9HCE7	Q14152
Q9HCE7	P60866
Q9HCE7	Q16658
Q9HCE7	Q96RU7
Q9HCE7	Q13642
Q9HCE7	Q9Y4K3
Q9HCE7	Q9BZF1
Q9HCE7	P52732
Q9HCE7	Q8TDD1
Q9HCE7	Q00325
Q9HCE7	P26641
Q9HCE7	Q8NI36
Q9HCE7	Q5SSJ5
Q9HCE7	P08F94
Q9HCE7	O75390
Q9HCE7	Q9UII4
Q9HCE7	P39019
Q9HCE7	P48059
Q9HCE7	Q5JQF8
Q9HCE7	Q01780
Q9HCE7	P42704
Q9HCE7	P00533
Q9HCE7	O75533
Q9HCE7	Q14766
Q9HCE7	P54105
Q9HCE7	P46940
Q9HCE7	P02545
Q9HCE7	O60716
Q9HCE7	Q9NZ56
Q9HCE7	Q15057
Q9HCE7	Q9UKA1
Q9HCE7	Q15084
Q9HCE7	P62873
Q9HCE7	Q00610
Q9HCE7	P49327
Q9HCE7	P11142
Q9HCE7	Q99848
Q9HCE7	P08708
Q9HCE7	P13807
Q9HCE7	P40227
Q9HCE7	Q96AC1
Q9HCE7	P55884
Q9HCE7	Q13561
Q9HCE7	P68036
Q9HCE7	Q53GL0
Q9HCE7	Q9Y4E8
Q9HCE7	P46821
Q9HCE7	O00423
Q9HCE7	O00463
Q9HCE7	P31153
Q9HCE7	Q13635
Q9HCE7	O94832
O60291	P32121
Q14139	P60468
P41002	Q93009
P41002	Q9NWU5
P41002	P31943
Q8NCQ5	P63208
Q8NCQ5	O14556
Q9NPC3	Q93034
Q9NPC3	Q15154
Q9Y4X5	Q92624
Q9Y4X5	Q96CV9
Q9H469	P07900
Q9H469	P04637
Q9H469	P51449
Q8WZ73	Q9BZL6
Q8WZ73	Q969K3
Q8WZ73	P54652
Q8WZ73	Q07866
Q8WZ73	Q13618
Q8WZ73	Q9UEU0
Q8WZ73	P51149
Q8WZ73	P29353
Q86XT4	Q07912
O15524	P16871
O15524	Q15369
O15524	Q9P1W9
O15524	A7E2V4
O15524	Q7L0Y3
O15524	Q14142
Q86T96	O95235
Q68DV7	P50851
Q68DV7	Q9NVI7
Q68DV7	P29317
Q6ZN04	Q7Z739
Q13489	O94903
Q13489	O14782
Q13489	O94826
Q13489	Q86U86
Q13489	P46013
Q13489	P35250
Q13489	P08621
Q13489	P17844
Q13489	O00267
Q13489	P24534
Q13489	O76021
Q13489	Q8IVF4
Q13489	Q8IUE6
Q13489	O43813
Q13489	Q13347
Q13489	Q9NRL2
Q13489	P24928
Q13489	P62263
Q13489	Q9Y4G6
Q13489	P09496
Q13489	P83881
Q9Y4K3	Q8TD23
Q9Y4K3	Q86WV6
Q9Y4K3	Q9HB90
Q9Y4K3	Q96EP0
Q9Y4K3	P35613
Q9Y4K3	Q13155
Q9Y4K3	Q16778
Q9Y4K3	P99999
Q9Y4K3	P22234
Q9Y4K3	O14836
Q9Y4K3	P19438
Q9Y4K3	Q15750
Q9Y4K3	Q6P0Q8
Q9Y4K3	P49589
Q9Y4K3	P10242
Q9Y4K3	Q9UGP4
Q9Y4K3	Q8TBB1
Q9Y4K3	O75604
Q9Y4K3	Q9Y4E8
Q9Y4K3	Q7RTR2
Q9Y4K3	Q06830
Q9Y4K3	Q9H8W4
Q9Y4K3	Q13137
Q9Y4K3	P55072
Q9Y4K3	Q9Y2V7
Q9Y4K3	Q8N3F0
Q9Y4K3	Q8IU57
Q9Y4K3	Q14258
Q9Y4K3	Q9HAV5
Q9Y4K3	Q9BXL7
Q8N448	P11802
Q9NVW2	Q8N1G1
Q9NVW2	Q99742
Q9NVW2	Q99966
Q9NVW2	P25686
Q9NVW2	Q9BZQ4
Q9NVW2	O14593
Q9NVW2	Q8IXJ9
Q13263	Q96T23
Q13263	P17980
Q13263	O75155
Q13263	Q9BYG3
Q9UKV5	Q8WUF5
Q9UKV5	Q8WY22
Q9UKV5	Q8WWF5
Q9UKV5	P61088
Q9UKV5	Q9BXM7
Q9UKV5	P34931
Q9UKV5	P78317
Q9UKV5	P25789
Q9UKV5	P56180
Q9UKV5	Q7LGA3
Q9UKV5	Q92896
Q9UKV5	P35580
Q9UKV5	O00165
Q9UKV5	Q9Y345
P50876	O14933
Q6ZNA4	Q9H190
Q6ZNA4	Q8WVN8
Q6ZNA4	P61289
Q6ZNA4	P55854
Q6ZNA4	Q96B02
Q6ZNA4	Q3LI76
Q6ZNA4	P78317
Q6ZNA4	Q9UEY8
Q9NZS9	Q9UGK8
Q9H6Y7	P26715
Q9H3F6	P30153
O00623	Q15848
Q9Y2M5	Q15884
Q9Y2M5	Q9BY77
Q9Y2M5	Q9H9A5
Q9Y2M5	Q02363
Q9Y2M5	P07910
Q9Y2M5	Q8TED0
Q9Y2M5	Q9H8H0
O60784	Q6WKZ4
O60784	O14757
Q13233	Q6P1M3
Q13233	Q15750
Q13233	Q13627
Q13233	Q9H5N1
Q13233	P45985
P0C2W1	P50991
P0C2W1	Q8TB72
P0C2W1	Q08380
P0C2W1	Q9BZC7
P0C2W1	P13385
P0C2W1	Q13616
P0C2W1	P52630
Q9HAU4	Q9H3P7
Q9HAU4	Q13263
Q9HAU4	P25490
Q9HAU4	Q15843
Q9HAU4	Q9UII4
Q9HAU4	Q8IV31
Q9HAU4	Q12904
Q9HAU4	P37840
Q9HAU4	Q9BSQ5
Q9HAU4	Q8NEA6
Q9HAU4	Q9Y4E8
Q9HAU4	P68036
Q9HAU4	Q02383
Q9HAU4	Q9Y2R9
Q9HAU4	P63279
Q9HAU4	Q96IZ0
Q9HAU4	Q8N0X7
Q9HAU4	P08865
Q9HAU4	Q14511
Q9HAU4	Q15428
Q9HAU4	P27824
Q9HAU4	P22736
Q9HAU4	Q8IXB1
Q9HAU4	P51531
Q9HAU4	Q15018
Q9HAU4	O14641
Q9HAU4	Q12905
Q9HAU4	O75106
Q9HAU4	Q13155
Q6PJ21	Q9UBX7
Q13114	Q02223
Q13114	Q8IYE1
Q13114	O95674
Q13114	P12532
P49427	O95816
P49427	P62937
P49427	Q9UNX4
P49427	P09874
P49427	P49792
P49427	Q09161
Q149N8	Q969H0
P19474	Q13547
P19474	P0CG48
P19474	Q9BRZ2
P19474	P63104
P19474	O60825
P19474	P16402
P19474	Q86VE9
P19474	Q15149
P19474	P14859
P19474	P49427
Q6P3S6	Q14444
P14373	Q9GZT8
P14373	Q8IVW4
Q9BY78	P84085
Q9BY78	Q5T8P6
Q9BY78	Q9Y4E8
Q9BY78	P27105
O94955	Q5JST6
Q9Y297	O75569
Q9Y297	P82930
Q9Y297	Q13309
Q9Y297	Q9Y6I7
Q9Y297	Q3B726
Q9Y297	Q96DH6
Q9Y297	O00154
Q9Y297	Q96HN2
Q9Y297	Q9NZQ7
Q9Y297	Q5VU97
Q9Y297	O60925
Q9Y297	Q8N6U8
Q9Y297	Q5EE01
Q9Y297	Q9H8N7
Q9Y297	Q16643
Q9Y297	O95858
Q9Y297	P62877
Q9Y297	Q96RT7
Q9Y297	P15822
Q9Y297	P46934
Q9Y297	Q04206
Q9Y297	O60307
Q9Y297	P62269
Q9Y297	Q16621
Q9Y297	O94788
Q9Y297	Q92620
Q9Y297	Q8IZ52
Q9Y297	Q9HAC8
Q9Y297	Q8IXJ6
Q9Y297	P61758
Q9Y297	Q712K3
Q9Y297	P31749
Q9Y297	Q8TCU4
Q9Y297	Q70EL1
Q9Y297	Q15022
Q9Y297	O60566
Q9Y297	Q5XKE5
Q9Y297	Q9H9J2
Q9Y297	Q9UBW8
Q9Y297	P82650
Q9Y297	Q99832
Q9Y297	P40227
Q9Y297	P52294
Q9Y297	Q9UNZ2
Q9Y297	Q9C0F1
Q9Y297	Q8TEB7
Q9Y297	Q86X10
Q9Y297	P05187
Q9Y297	Q9HD67
Q9Y297	Q9UH99
Q9Y297	Q06830
Q9Y297	Q96A35
Q9Y297	Q16526
Q9Y297	Q8WX93
Q9Y297	Q9Y618
Q9Y297	Q5T6S3
Q9Y297	P67870
Q9Y297	P46783
Q9Y297	Q9Y6K9
Q9Y297	Q9Y2D5
Q9Y297	Q96IX5
Q9Y297	Q9UKV8
Q9Y297	Q13616
Q9Y297	Q9NSN8
Q9Y297	O95235
Q9Y297	Q9BVM2
Q9Y297	Q01094
Q9Y297	Q49AN0
Q9Y297	P49427
Q9Y297	O95983
Q9Y297	P17612
Q9Y297	Q16531
Q9Y297	Q14185
Q9Y297	O00409
Q9Y297	P53675
Q9Y297	Q13627
Q9Y297	Q8N0Z2
Q9Y297	Q99471
Q9Y297	O15427
Q9Y297	Q9Y5V3
Q9Y297	Q9Y5B8
Q9Y297	P24522
Q9Y297	Q9BT78
Q9Y297	O43312
Q9Y297	P51991
Q9Y297	Q12834
Q9Y297	Q7Z739
Q9Y297	Q86VP6
Q9Y297	Q8IU57
Q9Y297	O15294
Q9Y297	Q9BSJ2
Q9Y297	Q9H093
Q9Y297	Q96D09
Q9Y297	Q6ZTW0
Q9Y297	O43318
Q9Y297	P61981
Q9Y297	O15264
Q9Y297	Q05BV3
Q9Y297	Q9UPP1
Q9Y297	Q86WH2
Q9Y297	Q13619
Q9Y297	P48634
Q9Y297	Q16659
Q9Y297	P31943
Q86Y13	Q13761
Q86Y13	P04637
Q8N6D2	Q15717
Q9BRZ2	Q7Z739
Q9BRZ2	Q8NBT2
Q8TEB1	P38936
Q76N89	Q68DV7
A6NNE9	O95057
O95198	Q9BQ70
O95198	P42025
O95198	Q96KG9
O95198	O14936
O75150	Q9UNY5
O75150	Q9Y264
O75150	P08651
O75150	Q9NRI5
Q6ZMZ0	O14933
Q7Z569	Q9UNP9
Q7Z569	Q96JC4
Q7Z569	Q9BZR9
Q9NYG5	Q969F2
Q9NYG5	P0CG48
Q9NYG5	P00533
Q9NYG5	Q9UM13
Q9UK97	P07900
Q9UK97	Q86X55
Q9P2N7	Q92905
Q9P2N7	Q96IQ9
Q9P2N7	P62877
Q9P2G9	P35219
A6NLU0	Q8N5I3
Q8NHM5	O95786
Q8NHM5	Q99496
Q09472	Q13625
Q09472	O15061
Q9UKT8	Q5MJ09
Q9UKT8	Q04206
Q9UKT8	Q92945
Q5T0T0	Q9NQT5
Q5T0T0	O14653
Q5T0T0	O43169
Q5T0T0	Q5VV42
Q5T0T0	Q86X29
Q5T0T0	P10586
Q5T0T0	P14778
Q5T0T0	P16070
Q5T0T0	Q04721
Q5T0T0	Q8NHP6
Q5T0T0	P62256
Q5T0T0	Q9HD20
Q5T0T0	P63027
Q5T0T0	P83111
Q5T0T0	Q15043
Q5T0T0	P61077
Q9UJX6	Q5T9S5
Q96D59	P05067
Q8ND25	Q6PIU2
Q8ND25	Q7Z6J9
Q8ND25	P0CG47
Q8ND25	P05023
O15304	Q9NR77
Q9H0F5	Q9UKK3
Q9NRD1	Q9Y282
Q9NRD1	Q15084
Q9NRD1	Q9H7B2
Q9NRD1	Q9UIW2
Q9NRD1	Q9UBW8
Q9UPQ7	Q96FJ2
Q96GF1	Q8TAT6
Q96GF1	Q9BWQ6
Q96GF1	Q9BVK8
Q96GF1	Q99942
Q96GF1	Q969Z4
Q86Y01	Q15388
Q86Y01	Q96P16
Q8N2W9	Q9Y6K9
Q8N2W9	Q13547
Q99619	P08240
Q99619	O15013
Q9BZR9	Q8WVD3
Q9BZR9	Q9P0P0
Q9C040	Q9BZR9
Q9C040	P78324
Q8WZ60	Q15942
Q8WZ60	Q9BTZ2
Q96BH1	Q969E3
O75382	Q92841
Q96CA5	P55211
Q96EQ8	P0CG48
Q96EQ8	P62837
Q96EQ8	P19474
Q96EQ8	Q9BVV2
Q96EQ8	P61077
Q96EQ8	Q8TDC0
Q96EQ8	Q7RTU4
Q9Y3C5	P51665
Q9Y3C5	O14920
Q9UBS8	P20823
Q9H4P4	P51116
Q9H4P4	Q9BZR9
Q9H4P4	Q7Z460
Q9H4P4	O95359
Q9H4P4	P13796
Q9H4P4	P30153
Q9H4P4	P57075
Q9H4P4	Q8IZH2
Q9H4P4	Q13158
Q9H4P4	Q15172
Q9H4P4	O94964
Q9UNE7	Q86XF0
Q9UNE7	Q9BXL7
Q9UNE7	P19484
Q9UNE7	Q9UF47
Q9UNE7	Q9UII4
Q9UNE7	P11308
Q9UNE7	Q9UK96
Q9UNE7	Q99615
Q9UNE7	Q8IY21
Q9UNE7	P38646
Q9UNE7	Q9Y574
Q9UNE7	O60266
Q9UNE7	Q9Y4C4
Q9UNE7	Q5JUK2
Q9UNE7	Q38SD2
Q9UNE7	O94953
Q9UNE7	Q9UBN7
Q9UNE7	P61586
Q9UNE7	Q99717
Q9UNE7	Q86U42
Q9UNE7	P53350
Q9UNE7	Q04725
Q9UNE7	Q99757
Q9UNE7	Q6PJF5
Q9UNE7	P22460
Q9UNE7	Q4VXA5
Q9UNE7	Q27J81
Q9UNE7	Q13490
Q9UNE7	O14744
Q9UNE7	Q9UK22
Q9UNE7	Q96HC4
Q9UNE7	P05067
Q9UNE7	P25686
Q9UNE7	Q13618
Q9UNE7	Q9UGC6
Q9UNE7	Q14166
Q9UNE7	Q8IZL9
Q9UNE7	Q8TCY9
Q9UNE7	Q9BSI4
Q9UNE7	P41181
Q9UNE7	P48729
Q9UNE7	Q9UMS4
Q9UNE7	Q8TB24
Q9UNE7	Q8WVJ2
Q9UNE7	P27695
Q9UNE7	P63092
Q9UNE7	Q8NBP7
Q9UNE7	O60346
Q9UNE7	Q96P20
Q9UNE7	P61160
Q9UNE7	P68036
Q9UNE7	Q13155
Q9UNE7	Q9NVM6
Q9UNE7	P11802
Q9UNE7	Q9UJX6
Q9UNE7	Q9H3Z4
Q9UNE7	Q2T9J0
Q9UNE7	P06239
Q9UNE7	O95278
Q9UNE7	O75368
Q9UNE7	Q9HCE1
Q9UNE7	Q8WZ42
Q9UNE7	P19387
Q9UNE7	P00748
Q9UNE7	P98170
Q9UNE7	Q13309
Q9UNE7	Q96GG9
Q9UNE7	P61088
Q9UNE7	Q99594
Q9UNE7	Q8NFB2
Q9UNE7	Q8NAP3
Q9UNE7	P48200
Q9UNE7	O75449
Q9UNE7	Q96RK0
Q9UNE7	Q8TDD2
Q9UNE7	Q9NQC7
Q9UNE7	Q16543
