Methods,AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1-score
TransESI,0.70,0.69,0.73,0.60,0.64,0.69,0.68
RF,0.67,0.68,0.51,0.76,0.68,0.61,0.59
XGBoost,0.66,0.67,0.53,0.73,0.66,0.61,0.59
SVM,0.64,0.61,0.65,0.61,0.62,0.63,0.63
KNN,0.60,0.57,0.53,0.62,0.58,0.57,0.55
LR,0.60,0.55,0.65,0.51,0.57,0.60,0.61
