Sensitivity,Specificity,PPV,NPV,F1-score,AUROC,AUPRC,repeat,method
0.759493670886076,0.7473684210526316,0.9259259259259259,0.42771084337349397,0.8344923504867872,0.787101932045303,0.9246452724204806,1.0,TransDSI
0.5848101265822785,0.8526315789473684,0.9428571428571428,0.3306122448979592,0.7218749999999999,0.767008660892738,0.934445766897222,1.0,RF
0.7139240506329114,0.6631578947368421,0.8980891719745223,0.35795454545454547,0.7954866008462624,0.7538707528314457,0.9283303098466362,1.0,XGBoost
0.7670886075949367,0.5789473684210527,0.8833819241982507,0.3741496598639456,0.8211382113821137,0.6919120586275815,0.8904274052344359,1.0,SVM
0.789873417721519,0.4842105263157895,0.8642659279778393,0.35658914728682173,0.8253968253968254,0.5847568287808127,0.8225934914872114,1.0,LR
0.5037974683544304,0.6210526315789474,0.8468085106382979,0.23137254901960785,0.6317460317460317,0.5599999999999999,0.8321591789769578,1.0,KNN
0.7164556962025317,0.6631578947368421,0.8984126984126984,0.36,0.7971830985915492,0.7474217188540974,0.92115803335832,1.0,Ubibrowser2
0.4810126582278481,0.8,0.9090909090909091,0.2704626334519573,0.6291390728476821,0.6484610259826782,0.882779841608982,1.0,Ubibrowser2_domain_motif
0.7557840616966581,0.7920792079207921,0.9333333333333333,0.45714285714285713,0.8352272727272728,0.799740385349589,0.9293523311817248,2.0,TransDSI
0.7377892030848329,0.7029702970297029,0.9053627760252366,0.41040462427745666,0.8130311614730878,0.7775713303978213,0.93404328545915,2.0,RF
0.5089974293059126,0.8613861386138614,0.9339622641509434,0.3129496402877698,0.658901830282862,0.7353203186642572,0.9172282630237545,2.0,XGBoost
0.6195372750642674,0.7227722772277227,0.895910780669145,0.33031674208144796,0.7325227963525837,0.6986052075644582,0.8969533174409835,2.0,SVM
0.6760925449871465,0.5445544554455446,0.8511326860841424,0.30386740331491713,0.7535816618911175,0.592634070605004,0.81838917295946,2.0,LR
0.2416452442159383,0.9108910891089109,0.912621359223301,0.23772609819121446,0.3821138211382114,0.5703632059864084,0.8532933845689341,2.0,KNN
0.7043701799485861,0.693069306930693,0.898360655737705,0.3783783783783784,0.7896253602305475,0.7527297716918222,0.9167189059235697,2.0,Ubibrowser2
0.4755784061696658,0.8118811881188119,0.9068627450980392,0.2867132867132867,0.623946037099494,0.6559469571635826,0.8797211540074992,2.0,Ubibrowser2_domain_motif
0.7348484848484849,0.7446808510638298,0.9238095238095239,0.4,0.818565400843882,0.8060122501611864,0.9380244530989428,3.0,TransDSI
0.6717171717171717,0.776595744680851,0.926829268292683,0.35960591133004927,0.7789165446559299,0.7758704061895552,0.9407072718733658,3.0,RF
0.5454545454545454,0.8617021276595744,0.9432314410480349,0.3103448275862069,0.6911999999999999,0.7762733720180529,0.9378842727142137,3.0,XGBoost
0.5075757575757576,0.8404255319148937,0.9305555555555556,0.28832116788321166,0.6568627450980392,0.7026649473457983,0.9039059721133211,3.0,SVM
