Ratio,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0
,TransDSI,RF,XGBoost,SVM,LR,KNN,TransDSI,RF,XGBoost,SVM,LR,KNN,TransDSI,RF,XGBoost,SVM,LR,KNN,TransDSI,RF,XGBoost,SVM,LR,KNN
AUROC,0.82±0.01,0.77±0.01,0.79±0.01,0.71±0.01,0.65±0.02,0.59±0.01,0.84±0.01,0.78±0.01,0.79±0.01,0.73±0.01,0.68±0.01,0.61±0.01,0.85±0.01,0.80±0.00,0.79±0.01,0.75±0.01,0.69±0.01,0.63±0.01,0.85±0.01,0.80±0.00,0.78±0.01,0.75±0.01,0.69±0.01,0.62±0.00
AUPRC,0.82±0.02,0.79±0.01,0.81±0.01,0.68±0.02,0.61±0.02,0.56±0.01,0.77±0.01,0.71±0.01,0.72±0.01,0.58±0.02,0.48±0.02,0.42±0.01,0.67±0.01,0.59±0.01,0.58±0.01,0.47±0.02,0.33±0.01,0.25±0.01,0.57±0.02,0.49±0.01,0.45±0.02,0.38±0.02,0.23±0.01,0.14±0.00
Sensitivity,0.71±0.04,0.65±0.06,0.62±0.04,0.65±0.04,0.64±0.05,0.62±0.09,0.71±0.03,0.61±0.06,0.61±0.05,0.61±0.03,0.59±0.04,0.62±0.09,0.71±0.03,0.61±0.05,0.61±0.05,0.61±0.04,0.53±0.03,0.57±0.07,0.71±0.03,0.65±0.05,0.62±0.05,0.57±0.03,0.49±0.04,0.63±0.10
Specificity,0.82±0.04,0.74±0.06,0.82±0.04,0.71±0.05,0.64±0.06,0.52±0.10,0.85±0.03,0.80±0.06,0.82±0.05,0.77±0.03,0.73±0.04,0.55±0.09,0.88±0.03,0.83±0.05,0.82±0.04,0.81±0.04,0.80±0.04,0.62±0.06,0.88±0.03,0.79±0.05,0.79±0.05,0.85±0.03,0.84±0.04,0.53±0.10
PPV,0.80±0.03,0.72±0.03,0.77±0.03,0.69±0.02,0.64±0.02,0.57±0.02,0.70±0.04,0.62±0.06,0.64±0.04,0.58±0.03,0.52±0.02,0.41±0.02,0.55±0.05,0.43±0.05,0.42±0.05,0.40±0.03,0.35±0.03,0.23±0.01,0.38±0.05,0.24±0.04,0.24±0.03,0.27±0.03,0.24±0.03,0.12±0.01
NPV,0.74±0.02,0.68±0.02,0.68±0.02,0.67±0.02,0.64±0.02,0.58±0.02,0.86±0.01,0.80±0.01,0.81±0.01,0.80±0.01,0.78±0.01,0.75±0.02,0.94±0.00,0.91±0.01,0.91±0.01,0.91±0.00,0.90±0.00,0.88±0.01,0.97±0.00,0.96±0.00,0.95±0.00,0.95±0.00,0.94±0.00,0.94±0.01
F1-score,0.75±0.02,0.68±0.02,0.69±0.02,0.67±0.02,0.64±0.02,0.59±0.04,0.71±0.01,0.61±0.01,0.62±0.01,0.59±0.01,0.55±0.01,0.49±0.02,0.61±0.02,0.50±0.02,0.49±0.02,0.48±0.02,0.42±0.01,0.33±0.01,0.49±0.03,0.35±0.03,0.34±0.03,0.37±0.02,0.32±0.02,0.20±0.00
