Sensitivity,Specificity,PPV,NPV,F1-score,AUROC,AUPRC,ratio,repeat,method
0.6234817813765182,0.8178137651821862,0.7738693467336684,0.6847457627118644,0.6905829596412557,0.765272336868331,0.7831596026138344,1.0,1.0,TransDSI
0.5910931174089069,0.7044534412955465,0.6666666666666666,0.6327272727272727,0.6266094420600858,0.7114524086610172,0.7260560393680653,1.0,1.0,RF
0.8704453441295547,0.5303643724696356,0.649546827794562,0.803680981595092,0.7439446366782008,0.7801308003737153,0.78696870892883,1.0,1.0,XGBoost
0.5668016194331984,0.7894736842105263,0.7291666666666666,0.6456953642384106,0.6378132118451025,0.7136324148896064,0.7020314994867014,1.0,1.0,SVM
0.7530364372469636,0.5587044534412956,0.6305084745762712,0.6934673366834171,0.6863468634686347,0.6653444573751414,0.6313048922407127,1.0,1.0,LR
0.4574898785425101,0.7368421052631579,0.6348314606741573,0.5759493670886076,0.531764705882353,0.6115900932649282,0.5978093284525015,1.0,1.0,KNN
0.6558704453441295,0.7692307692307693,0.7397260273972602,0.6909090909090909,0.6952789699570815,0.7426691143929585,0.7433410803542709,1.0,2.0,TransDSI
0.8582995951417004,0.48582995951417,0.6253687315634219,0.7741935483870968,0.7235494880546075,0.71110819715124,0.692180618041647,1.0,2.0,RF
0.6842105263157895,0.7327935222672065,0.7191489361702128,0.6988416988416989,0.7012448132780082,0.7596174334934191,0.7630903430639931,1.0,2.0,XGBoost
0.582995951417004,0.728744939271255,0.6824644549763034,0.6360424028268551,0.62882096069869,0.6853742890393221,0.656783968858254,1.0,2.0,SVM
0.659919028340081,0.611336032388664,0.6293436293436293,0.6425531914893617,0.6442687747035573,0.6457571833663885,0.6006444519442526,1.0,2.0,LR
0.5991902834008097,0.6275303643724697,0.6166666666666667,0.610236220472441,0.6078028747433266,0.6162369486469208,0.5846269272263014,1.0,2.0,KNN
0.6518218623481782,0.7935222672064778,0.7594339622641509,0.6950354609929078,0.7015250544662309,0.7917356455604911,0.7909754113205246,1.0,3.0,TransDSI
0.6194331983805668,0.6558704453441295,0.6428571428571429,0.6328125,0.6309278350515464,0.687816551656313,0.692407619290833,1.0,3.0,RF
0.5910931174089069,0.7894736842105263,0.7373737373737373,0.6587837837837838,0.6561797752808988,0.7569375010244391,0.7765634055610662,1.0,3.0,XGBoost
0.7206477732793523,0.5344129554655871,0.6075085324232082,0.6567164179104478,0.6592592592592593,0.6482158370076546,0.6141218710973797,1.0,3.0,SVM
0.6680161943319838,0.5951417004048583,0.6226415094339622,0.6419213973799127,0.6445312500000001,0.6161877755740957,0.5687616403057671,1.0,3.0,LR
0.6194331983805668,0.562753036437247,0.5862068965517241,0.5965665236051502,0.6023622047244095,0.6008211903161828,0.5749962689489841,1.0,3.0,KNN
0.6720647773279352,0.854251012145749,0.8217821782178217,0.7226027397260274,0.7394209354120267,0.7888262387516596,0.7956019064345858,1.0,4.0,TransDSI
0.8016194331983806,0.6153846153846154,0.6757679180887372,0.7562189054726368,0.7333333333333332,0.7637889491714338,0.7532803415953939,1.0,4.0,RF
0.7773279352226721,0.6518218623481782,0.6906474820143885,0.7453703703703703,0.7314285714285715,0.7713779934108083,0.776124036120876,1.0,4.0,XGBoost
0.6194331983805668,0.7489878542510121,0.7116279069767442,0.6630824372759857,0.6623376623376622,0.7104525561802355,0.6706013129513767,1.0,4.0,SVM
0.6720647773279352,0.6194331983805668,0.6384615384615384,0.6538461538461539,0.6548323471400395,0.6605582782868101,0.6220499437694855,1.0,4.0,LR
0.5587044534412956,0.6396761133603239,0.6079295154185022,0.5917602996254682,0.5822784810126582,0.6286285629989017,0.6188517270923599,1.0,4.0,KNN
0.6720647773279352,0.7773279352226721,0.751131221719457,0.7032967032967034,0.7094017094017095,0.7648133881886278,0.767874893707527,1.0,5.0,TransDSI
0.5546558704453441,0.7611336032388664,0.6989795918367347,0.6308724832214765,0.618510158013544,0.7121572227048468,0.7053345436629248,1.0,5.0,RF
0.5789473684210527,0.8137651821862348,0.7566137566137566,0.659016393442623,0.6559633027522935,0.7581094592601092,0.7650993357639051,1.0,5.0,XGBoost
0.757085020242915,0.5303643724696356,0.6171617161716172,0.6858638743455497,0.68,0.66973725188087,0.6214587571268668,1.0,5.0,SVM
0.5789473684210527,0.6558704453441295,0.6271929824561403,0.6090225563909775,0.6021052631578947,0.6489862151485846,0.6020948550064213,1.0,5.0,LR
0.6518218623481782,0.5425101214574899,0.5875912408759124,0.6090909090909091,0.618042226487524,0.6216459866577063,0.595498701787682,1.0,5.0,KNN
0.6639676113360324,0.8259109311740891,0.7922705314009661,0.710801393728223,0.722466960352423,0.7997672474552934,0.8276648274089378,1.0,6.0,TransDSI
0.7408906882591093,0.5789473684210527,0.6376306620209059,0.6908212560386473,0.6853932584269662,0.7304659968201415,0.7460751997551893,1.0,6.0,RF
0.6194331983805668,0.8218623481781376,0.7766497461928934,0.6835016835016835,0.6891891891891891,0.7773033486862594,0.8047057444164898,1.0,6.0,XGBoost
0.6923076923076923,0.6234817813765182,0.6477272727272727,0.6695652173913044,0.6692759295499021,0.6986346276778836,0.6745906489982908,1.0,6.0,SVM
0.6720647773279352,0.6639676113360324,0.6666666666666666,0.6693877551020408,0.6693548387096775,0.6766870461735154,0.6259566154395683,1.0,6.0,LR
0.7975708502024291,0.3522267206477733,0.5518207282913166,0.635036496350365,0.6523178807947021,0.6023701421101805,0.5948106160017205,1.0,6.0,KNN
0.5910931174089069,0.8502024291497976,0.7978142076502732,0.6752411575562701,0.6790697674418605,0.7917438410726286,0.8125222009372741,1.0,7.0,TransDSI
0.6639676113360324,0.708502024291498,0.6949152542372882,0.6782945736434108,0.679089026915114,0.7450212263764363,0.7369032805436991,1.0,7.0,RF
0.7732793522267206,0.6720647773279352,0.7022058823529411,0.7477477477477478,0.7360308285163775,0.782925470012621,0.7807448221506212,1.0,7.0,XGBoost
0.5425101214574899,0.7773279352226721,0.708994708994709,0.6295081967213115,0.6146788990825689,0.7025274959432215,0.6782779925767844,1.0,7.0,SVM
0.5951417004048583,0.708502024291498,0.6712328767123288,0.6363636363636364,0.630901287553648,0.670327328754774,0.6499480162849384,1.0,7.0,LR
0.631578947368421,0.5789473684210527,0.6,0.6111111111111112,0.6153846153846154,0.6342752708616761,0.6162878503719632,1.0,7.0,KNN
0.611336032388664,0.7894736842105263,0.7438423645320197,0.6701030927835051,0.6711111111111111,0.7374485731613368,0.7583999941323902,1.0,8.0,TransDSI
